date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:04:50	36562/36562	U--MCZ	200	updated ('OK')	text/html	etag:W/%221537200240-0%22	https://everbloom7.lndo.site/	/Users/karen/Sites/www/everbloom.dev/everbloom7.lndo.site/index/index.html	(from )
11:04:51	7587/7587	U--M-Z	200	updated ('OK')	text/css	etag:W/%225b9fd078-1da3%22	https://everbloom7.lndo.site/sites/default/files/css/css_xE-rWrJf-fncB6ztZfd2huxqgxu4WO-qwma6Xer30m4.css	/Users/karen/Sites/www/everbloom.dev/everbloom7.lndo.site/sites/default/files/css/css_xE-rWrJf-fncB6ztZfd2huxqgxu4WO-qwma6Xer30m4/index.css	(from https://everbloom7.lndo.site/)
11:04:51	5430/5430	U-----	200	untouched ('')	image/x-icon	etag:%225b65cf47-1536%22	https://everbloom7.lndo.site/misc/favicon.ico	/Users/karen/Sites/www/everbloom.dev/everbloom7.lndo.site/misc/favicon/index.ico	(from https://everbloom7.lndo.site/)
11:04:51	38662/38662	---M-Z	200	added ('OK')	text/html	etag:W/%221537200257-0%22	https://everbloom7.lndo.site/tournament/09-15-2018/8774	/Users/karen/Sites/www/everbloom.dev/everbloom7.lndo.site/tournament/09-15-2018/8774/index.html	(from https://everbloom7.lndo.site/)
11:04:52	26966/26966	U--M-Z	200	updated ('OK')	text/css	etag:W/%225b9fd078-6956%22	https://everbloom7.lndo.site/sites/default/files/css/css_P4Ybnevfk57rXHIric0p5z2AW2dfrsm0Yto9cdrs7qo.css	/Users/karen/Sites/www/everbloom.dev/everbloom7.lndo.site/sites/default/files/css/css_P4Ybnevfk57rXHIric0p5z2AW2dfrsm0Yto9cdrs7qo/index.css	(from https://everbloom7.lndo.site/)
11:04:52	510/510	U--M-Z	200	updated ('OK')	text/css	etag:W/%225b9fd078-1fe%22	https://everbloom7.lndo.site/sites/default/files/css/css_jENQOQqZCRFGZK__DTefxYiXR2RUf03k1ugj3_Vg7vk.css	/Users/karen/Sites/www/everbloom.dev/everbloom7.lndo.site/sites/default/files/css/css_jENQOQqZCRFGZK__DTefxYiXR2RUf03k1ugj3_Vg7vk/index.css	(from https://everbloom7.lndo.site/)
11:04:52	18657/18657	---M-Z	200	added ('OK')	text/html	etag:W/%221537200292-0%22	https://everbloom7.lndo.site/team/8800	/Users/karen/Sites/www/everbloom.dev/everbloom7.lndo.site/team/8800/index.html	(from https://everbloom7.lndo.site/)
11:04:54	6432/6432	U--M--	200	updated ('OK')	application/javascript	etag:%225b9fd078-1920%22	https://everbloom7.lndo.site/sites/default/files/js/js_oq92h_Ctj7BGHNdjCEwqZc8AAZAdHNPlsZElOMNW2gU.js	/Users/karen/Sites/www/everbloom.dev/everbloom7.lndo.site/sites/default/files/js/js_oq92h_Ctj7BGHNdjCEwqZc8AAZAdHNPlsZElOMNW2gU/index.js	(from https://everbloom7.lndo.site/)
11:04:54	66877/66877	U--MCZ	200	updated ('OK')	text/css	etag:W/%225b9fd078-1053d%22	https://everbloom7.lndo.site/sites/default/files/css/css_e4xjl-Pn8ZDKIkaNxgqzqkqy7aaDi1oWOmEIDa3Ndgw.css	/Users/karen/Sites/www/everbloom.dev/everbloom7.lndo.site/sites/default/files/css/css_e4xjl-Pn8ZDKIkaNxgqzqkqy7aaDi1oWOmEIDa3Ndgw/index.css	(from https://everbloom7.lndo.site/)
11:04:54	101801/101801	U--M--	200	updated ('OK')	application/javascript	etag:%225b9fd078-18da9%22	https://everbloom7.lndo.site/sites/default/files/js/js_vDrW3Ry_4gtSYaLsh77lWhWjIC6ml2QNkcfvfP5CVFs.js	/Users/karen/Sites/www/everbloom.dev/everbloom7.lndo.site/sites/default/files/js/js_vDrW3Ry_4gtSYaLsh77lWhWjIC6ml2QNkcfvfP5CVFs/index.js	(from https://everbloom7.lndo.site/)
